"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"THBS1_IL10RB","THBS1","IL10RB",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.52909892162274,1e-05,0.000141176470588235
"CD55_MERTK","CD55","MERTK",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.52528394440235,0.02674,0.0907722772277228
"CCL20_CD2","CCL20","CD2",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-3.52344102159475,0.00236,0.0132027972027972
"HEBP1_IL1RAP","HEBP1","IL1RAP",113,15,2.791305247187e-06,4.59693971303573e-07,108,-3.51242147983406,0,0
"CD1D_CXCR4","CD1D","CXCR4",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.50456971298424,0,0
"ICAM2_MERTK","ICAM2","MERTK",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.50157400036347,0.00202,0.0117384987893462
"CCL20_NRP1","CCL20","NRP1",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-3.5003545495473,0.00716,0.0315882352941176
"THBS1_TNFRSF1A","THBS1","TNFRSF1A",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.49305238645314,3e-05,0.000361809045226131
"APP_ITGAM","APP","ITGAM",122,22,3.01362159430809e-06,6.74217824578574e-07,117,-3.49228852175734,0.00048,0.00354461538461538
"IL1B_IL1RAP","IL1B","IL1RAP",7883,1070,0.000194724418261727,3.27915032863216e-05,493,-3.48033811529827,0.00159,0.00961209068010076
"CD55_ADGRE2","CD55","ADGRE2",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.47773494162021,1e-05,0.000141176470588235
"CD55_CCR1","CD55","CCR1",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.47587544022115,0.00149,0.00912244897959184
"CD55_IL12RB1","CD55","IL12RB1",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.47587544022115,0.00109,0.00699465240641711
"TNF_CXCR4","TNF","CXCR4",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.46666400035384,0.00213,0.0121714285714286
"KLRB1_FPR3","KLRB1","FPR3",208,27,5.13797780013182e-06,8.27449148346432e-07,131,-3.4637374358835,0.00503,0.0240956175298805
"CD55_TNFRSF21","CD55","TNFRSF21",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.4615878959924,5e-05,0.000545454545454545
"IL1A_LILRB2","IL1A","LILRB2",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.45553429881327,0.01291,0.0502987012987013
"KLRB1_FPR1","KLRB1","FPR1",208,27,5.13797780013182e-06,8.27449148346432e-07,131,-3.45530040409828,0.004,0.0203821656050955
"ICAM2_ADGRE2","ICAM2","ADGRE2",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.45409510750358,0,0
"IL1A_CCR6","IL1A","CCR6",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.45232867180812,0.01532,0.0583074484944532
"ICAM2_CCR1","ICAM2","CCR1",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.45218637068553,4e-05,0.00045933014354067
"ICAM2_IL12RB1","ICAM2","IL12RB1",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.45218637068553,3e-05,0.000361809045226131
