"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"PLAU_CD80","PLAU","CD80",61,102,1.50425697325446e-06,3.13214174378491e-06,119,2.77113305064962,0.00077,0.00556609147609148
"ADM_TREM2","ADM","TREM2",189,389,4.6607306220507e-06,1.19451288071797e-05,297,2.77217519608689,0.00968,0.0488495791001451
"IL1B_NRP2","IL1B","NRP2",13198,21711,0.00032546202513135,0.000666685582346217,1273,2.77764879021304,0.00042,0.00326697986577181
"CSF3_SIRPA","CSF3","SIRPA",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.77960422212569,0.02564,0.111577321652065
"IL6_ADGRE5","IL6","ADGRE5",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.78079994292019,0,0
"CCL19_TLR8","CCL19","TLR8",27,92,6.65818660292957e-07,2.825069023806e-06,48,2.78324747871055,0.00135,0.00902682692307692
"CCL3_CCR6","CCL3","CCR6",5143,17991,0.000126826124810618,0.000552454530514062,1051,2.78334876540484,0.00077,0.00556609147609148
"IL23A_SIGLEC1","IL23A","SIGLEC1",218,593,5.3758691831061e-06,1.82094122947495e-05,197,2.78368435521346,0.00201,0.0126837931034483
"CSF3_IL15RA","CSF3","IL15RA",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.78501020717581,0.06992,0.251875749741468
"CSF3_IL27RA","CSF3","IL27RA",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.78503728910394,0.04494,0.176162773393461
"CLU_TNFRSF10A","CLU","TNFRSF10A",18,64,4.43879106861971e-07,1.96526540786504e-06,47,2.78570304014944,0.01105,0.0548869285714286
"TNF_SIRPA","TNF","SIRPA",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.79385046610437,0,0
"CCL5_FPR3","CCL5","FPR3",85,275,2.09609578240375e-06,8.4444997994201e-06,177,2.79584728978282,0,0
"CCL5_ITGAV","CCL5","ITGAV",85,275,2.09609578240375e-06,8.4444997994201e-06,177,2.79917543871856,5e-05,0.00048024861878453
"TNF_IL15RA","TNF","IL15RA",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.79930300143105,0.00253,0.0155420671378092
