"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"IL23A_NCR3","IL23A","NCR3",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.363420842093,0.61092,1
"CD58_ADGRE5","CD58","ADGRE5",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.36538373015641,0.33794,1
"EBI3_FLT1","EBI3","FLT1",74,72,1.83600546147116e-06,2.21422054854485e-06,108,1.36560357559056,0.17181,0.672088607594937
"CLCF1_CCR6","CLCF1","CCR6",21,55,5.21028576903979e-07,1.69141847458287e-06,62,1.37163874248794,0.42518,1
"ICAM4_CLEC2D","ICAM4","CLEC2D",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.37949143676717,0.76039,1
"ICAM4_ADGRE5","ICAM4","ADGRE5",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.38474825773432,0.74654,1
"CLCF1_IL10RB","CLCF1","IL10RB",21,55,5.21028576903979e-07,1.69141847458287e-06,62,1.39432926345559,0.41384,1
"CD58_IL12RB1","CD58","IL12RB1",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.39847878494465,0.37343,1
"CXCL11_CCR6","CXCL11","CCR6",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.40790308107927,0.55624,1
"ICAM4_IL12RB1","ICAM4","IL12RB1",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.41783766832474,0.67314,1
"NCR3LG1_CD72","NCR3LG1","CD72",78,102,1.93524899992907e-06,3.13681244377187e-06,128,1.42019802140104,0.93645,1
"TNFSF14_IL10RA","TNFSF14","IL10RA",92,290,2.28260138453172e-06,8.91838832052786e-06,182,1.4240606058297,0.25433,0.898874045801527
"IL23A_CCR6","IL23A","CCR6",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.42630225518548,0.53319,1
"CXCL11_IL10RB","CXCL11","IL10RB",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.43059516037797,0.54345,1
"CLCF1_IL27RA","CLCF1","IL27RA",21,55,5.21028576903979e-07,1.69141847458287e-06,62,1.43428242095383,0.38187,1
"CXCL10_ITGAM","CXCL10","ITGAM",173,1240,4.29228303830421e-06,3.81337983360502e-05,237,1.43928355689857,0.49267,1
"ICAM1_TNFRSF14","ICAM1","TNFRSF14",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.44400948051881,0.13976,0.577133928571429
"NCR3LG1_CXCR3","NCR3LG1","CXCR3",78,102,1.93524899992907e-06,3.13681244377187e-06,128,1.44422901652541,0.75552,1
"ITGAV_TNFRSF14","ITGAV","TNFRSF14",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.44446583781446,0.35179,1
"IL23A_IL10RB","IL23A","IL10RB",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.44899636931391,0.50523,1
"CXCL9_NCR3","CXCL9","NCR3",265,766,6.57488442283593e-06,2.35568463914632e-05,246,1.45106896174933,0.16057,0.642975108225108
"ICAM1_SELL","ICAM1","SELL",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.46908852512051,0.09645,0.441664603960396
"ITGAV_SELL","ITGAV","SELL",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.46954500279277,0.31035,1
"CXCL11_IL27RA","CXCL11","IL27RA",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.47054909997597,0.51928,1
"TNFSF14_TNFRSF10A","TNFSF14","TNFRSF10A",92,290,2.28260138453172e-06,8.91838832052786e-06,182,1.47930977811594,0.22605,0.823213582677165
"ICAM1_IL6ST","ICAM1","IL6ST",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.47941467642182,0.20991,0.773572709163347
"ITGAV_IL6ST","ITGAV","IL6ST",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.47986980604974,0.34569,1
"IL23A_IL27RA","IL23A","IL27RA",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.48895132409681,0.46125,1
